cod_sector,sector_desc,n_firmas,ventas_mediana,tasa_muestra,tasa_nacional,brecha
J,Informacion y comunicaciones,59,695.1,0.88135593220339,0.509,0.37235593220339
C,Industria manufacturera,122,457.9,0.71551724137931,0.369,0.34651724137931
M,"Actividades profesionales, cientificas y tecnicas",46,712.4,0.681818181818182,0.443,0.238818181818182
I,Alojamiento y servicios de comida,49,485.5,0.466666666666667,0.206,0.260666666666667
G,Comercio al por mayor y al por menor,135,571.8,0.436507936507937,0.166,0.270507936507936
H,Transporte y almacenamiento,38,156.8,0.342105263157895,0.219,0.123105263157895
F,Construccion,51,412.9,0.229166666666667,0.17,0.0591666666666666
